id,origin_zip,destination_zip,equipment_type,origin_city,origin_state,destination_city,destination_state,rate_source,duration,target_rate,avg_rate,max_rate,miles,fuel_surcharge,created_userid,created_at,cache_date,updated_at,updated_userid
1566,89431,01013,2,Greenbrae,NV,Chicopee,MA,Rate source1,3,5025.3,5177.57,5275.95,2793.44,0,,27:35.8,30:00.0,27:35.8,
1567,16146,56401,2,Sharon,PA,Baxter,MN,Rate source1,3,1491.89,1586.35,1682.38,974.21,0,,27:40.3,30:00.0,27:40.3,
1568,50021,79022,2,Ankeny,IA,Dalhart,TX,Rate source1,3,1683.41,1830.28,1960.87,798.08,0,,27:43.3,30:00.0,27:43.3,
1569,43351,28301,2,Upper Sandusky,OH,East Fayetteville,NC,Rate source1,1,1309.45,1381.26,1454.07,558.89,0,,25:15.8,30:00.0,25:15.8,
1570,60107,44017,2,Streamwood,IL,Berea,OH,Rate source1,1,966.87,1018.46,1068.15,382.98,0,,25:20.9,30:00.0,25:20.9,
1571,15122,64101,2,Pittsburgh,PA,Kansas City,MO,Rate source1,1,1510.93,1614.32,1759.04,840,0,,25:26.8,30:00.0,25:26.8,
1572,15001,02451,2,Aliquippa,PA,North Waltham,MA,Rate source1,1,1181.78,1265.07,1350.62,569.44,0,,25:32.3,30:00.0,25:32.3,
1573,29501,12015,2,Florence,SC,Athens,NY,Rate source1,1,1565.13,1628.7,1692.63,785.04,0,,25:39.1,30:00.0,25:39.1,
1574,92251,85901,2,Imperial,CA,Show Low,AZ,Rate source1,1,1025.19,1053.04,1116.85,437.1,0,,25:40.5,30:00.0,25:40.5,
1575,72201,30071,2,Little Rock,AR,Berkeley Lake,GA,Rate source1,1,1251.47,1325.26,1438.84,542.51,0,,25:42.8,30:00.0,25:42.8,
1576,70112,78201,2,New Orleans,LA,Balcones Heights,TX,Rate source1,1,857.01,906.06,1001.1,547.08,0,,25:19.8,30:00.0,25:19.8,
1577,19092,45133,2,Philadelphia,PA,Allensburg,OH,Rate source1,1,998.36,1046.82,1107.34,549.35,0,,25:26.1,30:00.0,25:26.1,
1578,75941,78201,2,Burke,TX,Balcones Heights,TX,Rate source1,1,637.48,717.72,788.78,345.35,0,,25:33.5,30:00.0,25:33.5,
1579,44203,53202,2,Akron,OH,Milwaukee,WI,Rate source1,1,726.02,792.9,882.22,451.89,0,,25:42.1,30:00.0,25:42.1,
1580,60601,19092,2,Chicago,IL,Philadelphia,PA,Rate source1,1,1772.72,1877.7,2009.82,755.19,0,,25:49.1,30:00.0,25:49.1,
1581,40502,53702,2,Lexington,KY,Madison,WI,Rate source1,1,741.96,802.16,868.54,518.33,0,,25:55.1,30:00.0,25:55.1,
1582,77002,75078,2,Clutch City,TX,Prosper,TX,Rate source1,1,608.62,645.29,919.71,256.08,0,,26:01.8,30:00.0,26:01.8,
1583,17011,06850,2,Camp Hill,PA,Norwalk,CT,Rate source1,1,718.57,802.18,866.05,221.1,0,,26:06.0,30:00.0,26:06.0,
1584,43351,28075,2,Upper Sandusky,OH,Harrisburg,NC,Rate source1,1,1225.17,1282.13,1386.77,483.71,0,,26:13.3,30:00.0,26:13.3,
1585,80012,78201,2,Aurora,CO,Balcones Heights,TX,Rate source1,1,1229,1254.08,1273.54,933.71,0,,26:17.3,30:00.0,26:17.3,
1586,43351,28202,2,Upper Sandusky,OH,Charlotte,NC,Rate source1,1,1236.58,1292.03,1398.66,484.45,0,,26:21.0,30:00.0,26:21.0,
1587,24382,27401,2,Stones Mill,VA,Greensboro,NC,Rate source1,1,697.23,776.86,801.19,116.75,0,,26:27.0,30:00.0,26:27.0,
1588,52001,18015,2,Center Grove,IA,Bethlehem,PA,Rate source1,1,2014.87,2151.41,2303.73,918.69,0,,26:29.6,30:00.0,26:29.6,
1589,27284,11763,2,Guthrie,NC,Gordon Heights,NY,Rate source1,1,1218.24,1285.67,1394.68,585.73,0,,26:33.8,30:00.0,26:33.8,
1590,62040,67062,2,Granite City,IL,Hesston,KS,Rate source1,1,1148.21,1181.19,1246.7,458.01,0,,26:36.3,30:00.0,26:36.3,
1591,33563,32601,2,Plant City,FL,Gainesville,FL,Rate source1,1,480.23,504.05,548.14,131.86,0,,26:37.8,30:00.0,26:37.8,
1592,21201,22801,2,Baltimore,MD,Harrisonburg,VA,Rate source1,1,721.72,1002.4,1308.91,157.29,0,,26:42.8,30:00.0,26:42.8,
1593,78040,37743,2,Laredo,TX,Baileyton,TN,Rate source1,1,2249.83,2356.4,2435.77,1202.23,0,,26:51.5,30:00.0,26:51.5,
1594,19067,33801,2,Lower Makefield,PA,Lakeland,FL,Rate source1,1,2171.29,2257.93,2313.69,1050.49,0,,26:56.0,30:00.0,26:56.0,
1595,78040,13146,2,Laredo,TX,Savannah,NY,Rate source1,1,3729.43,3772.81,3795.43,1871.71,0,,27:01.9,30:00.0,27:01.9,
1596,18701,07094,2,Wilkes Barre,PA,Secaucus,NJ,Rate source1,1,514.49,692.9,706.59,111.67,0,,27:08.8,30:00.0,27:08.8,
1597,44502,60140,2,Youngstown,OH,Campton Hills,IL,Rate source1,1,720.74,771.53,831.11,436.48,0,,27:14.1,30:00.0,27:14.1,
1598,39455,78610,2,Baxterville,MS,Buda,TX,Rate source1,1,932.24,1009.09,1104.97,601.86,0,,27:19.6,30:00.0,27:19.6,
1599,89431,01013,2,Greenbrae,NV,Chicopee,MA,Rate source1,1,5056.33,5178.5,5263.04,2793.44,0,,27:25.5,30:00.0,27:25.5,
1600,16146,56401,2,Sharon,PA,Baxter,MN,Rate source1,1,1491.68,1586.57,1694.39,974.21,0,,27:30.6,30:00.0,27:30.6,
1601,50021,79022,2,Ankeny,IA,Dalhart,TX,Rate source1,1,1688.86,1834.24,1962.26,798.08,0,,27:35.5,30:00.0,27:35.5,
1602,43351,28301,2,Upper Sandusky,OH,East Fayetteville,NC,Rate source1,3,1306.53,1377.08,1456.61,558.89,0,,25:20.3,30:00.0,25:20.3,
1603,60107,44017,2,Streamwood,IL,Berea,OH,Rate source1,3,971.03,1019.1,1067.98,382.98,0,,25:24.1,30:00.0,25:24.1,
1604,15122,64101,2,Pittsburgh,PA,Kansas City,MO,Rate source1,3,1511.93,1619.06,1758.65,840,0,,25:29.4,30:00.0,25:29.4,
1605,15001,02451,2,Aliquippa,PA,North Waltham,MA,Rate source1,3,1184.25,1266.01,1362.69,569.44,0,,25:36.5,30:00.0,25:36.5,
1606,29501,12015,2,Florence,SC,Athens,NY,Rate source1,3,1559.78,1623.31,1686.41,785.04,0,,25:42.8,30:00.0,25:42.8,
1607,92251,85901,2,Imperial,CA,Show Low,AZ,Rate source1,3,1025.97,1052.19,1115.84,437.1,0,,25:45.4,30:00.0,25:45.4,
1608,72201,30071,2,Little Rock,AR,Berkeley Lake,GA,Rate source1,3,1260.82,1330.09,1446.23,542.51,0,,25:47.1,30:00.0,25:47.1,
1609,79323,60803,2,Denver City,TX,Alsip,IL,Rate source1,3,1639.72,1713.81,1815.15,1187.35,0,,20:40.7,30:00.0,20:40.7,
1610,60803,10001,2,Alsip,IL,GPO,NY,Rate source1,3,1832.29,1988.64,2128.41,791.34,0,,20:41.1,30:00.0,20:41.1,
1611,60803,60601,1,Alsip,IL,Chicago,IL,Rate source1,3,1057.64,1212.85,1807.19,8.25,0,,20:41.4,30:00.0,20:41.4,
1612,60605,79323,2,Chicago,IL,Denver City,TX,Rate source1,3,2331.63,2376.53,2451.57,1193.43,0,,20:41.9,30:00.0,20:41.9,
1613,75165,77301,1,Waxahachie,TX,Beach,TX,Rate source1,3,854.6,1095.79,1244.32,201.42,0,,03:56.9,30:00.0,03:56.9,
1614,41008,46123,2,Carrollton,KY,Avon,IN,Rate source1,3,599.93,641.31,671.53,130.46,0,,03:57.5,30:00.0,03:57.5,
1615,33563,27401,1,Plant City,FL,Greensboro,NC,Rate source1,3,1295.25,1350.64,1400.31,641.42,0,,04:05.7,30:00.0,04:05.7,
1616,61602,43351,1,Peoria,IL,Upper Sandusky,OH,Rate source1,3,1099.59,1141.97,1194.55,399.59,0,,04:09.9,30:00.0,04:09.9,
1617,76031,30303,1,Cleburne,TX,Atlanta,GA,Rate source1,3,2666.19,2827.43,2905.35,816.49,0,,04:14.7,30:00.0,04:14.7,
1618,19092,46402,2,Philadelphia,PA,Gary,IN,Rate source1,3,1121.42,1205.19,1281.02,725.47,0,,04:17.7,30:00.0,04:17.7,
1619,31401,73075,2,Savannah,GA,Pauls Valley,OK,Rate source1,3,1579.74,1668.07,1740.34,1123.72,0,,04:18.8,30:00.0,04:18.8,
1620,15122,46746,1,Pittsburgh,PA,Brighton,IN,Rate source1,3,1202.11,1275.83,1374.79,330.12,0,,04:24.7,30:00.0,04:24.7,
1621,60068,60098,2,Park Ridge,IL,Bull Valley,IL,Rate source1,3,364.34,423.68,504.88,0,0,,04:27.5,30:00.0,04:27.5,
1622,19530,33023,2,Greenwich,PA,Hollywood,FL,Rate source1,3,2285.72,2366.59,2464.64,1196.47,0,,04:31.2,30:00.0,04:31.2,
1623,72315,80012,1,Blytheville,AR,Aurora,CO,Rate source1,3,3175.08,3251.53,3313.65,1072.75,0,,04:31.9,30:00.0,04:31.9,
1624,29440,23320,1,Georgetown,SC,Chesapeake,VA,Rate source1,3,1368.66,1432.42,1509.25,426.51,0,,04:33.5,30:00.0,04:33.5,
1625,92251,85003,2,Imperial,CA,Phoenix,AZ,Rate source1,3,966.84,1011.38,1065.53,257.38,0,,04:35.2,30:00.0,04:35.2,
1626,30701,30176,1,Calhoun,GA,Tallapoosa,GA,Rate source1,3,1325.78,1406.02,1695.84,70.71,0,,04:38.9,30:00.0,04:38.9,
1627,44408,89044,2,Columbiana,OH,Henderson,NV,Rate source1,3,3150.2,3248.91,3436.96,2131.68,0,,04:40.5,30:00.0,04:40.5,
1628,90745,48906,1,Carson,CA,Lansing,MI,Rate source1,3,4094.43,4409.03,4660.98,2224.29,0,,04:43.7,30:00.0,04:43.7,
1629,71301,77002,1,Alex,LA,Clutch City,TX,Rate source1,3,826.63,903.49,978.86,266.98,0,,04:45.5,30:00.0,04:45.5,
1630,61264,42301,2,Milan,IL,Owensboro,KY,Rate source1,3,863.77,923.8,1017.7,414.09,0,,04:53.2,30:00.0,04:53.2,
1631,76031,77301,2,Cleburne,TX,Beach,TX,Rate source1,3,622.8,650.04,670.44,234.87,0,,04:53.7,30:00.0,04:53.7,
1632,52001,33401,2,Center Grove,IA,West Palm Beach,FL,Rate source1,3,3133.88,3254.19,3339.91,1465.32,0,,04:59.5,30:00.0,04:59.5,
1633,75939,75201,1,Asia,TX,Dallas,TX,Rate source1,3,854.6,1095.79,1244.32,207.27,0,,05:01.0,30:00.0,05:01.0,
1634,77701,78108,1,Beaumont,TX,Cibolo,TX,Rate source1,3,854.6,1095.79,1244.32,258.23,0,,05:02.7,30:00.0,05:02.7,
1635,77571,80504,2,La Porte,TX,Firestone,CO,Rate source1,3,2311.09,2390.31,2427.65,1184.19,0,,05:09.4,30:00.0,05:09.4,
1636,69160,39401,1,Sidney,NE,Arnold Line,MS,Rate source1,3,2192.07,2269.68,2313.06,1215.54,0,,05:10.2,30:00.0,05:10.2,
1637,76031,77520,2,Cleburne,TX,Baytown,TX,Rate source1,3,609.01,664.48,679.98,284.8,0,,05:11.7,30:00.0,05:11.7,
1638,61244,71295,2,Babcock,IL,Bushes,LA,Rate source1,3,1685.13,1761.75,1848.98,787.66,0,,05:15.7,30:00.0,05:15.7,
1639,76031,08075,2,Cleburne,TX,Bridgeboro,NJ,Rate source1,3,2768.26,2832.7,2886.1,1498.22,0,,05:25.0,30:00.0,05:25.0,
1640,76031,79201,1,Cleburne,TX,Carey,TX,Rate source1,3,854.6,1095.79,1244.32,261.18,0,,05:26.8,30:00.0,05:26.8,
1641,90745,37174,2,Carson,CA,Spring Hill,TN,Rate source1,3,3738.57,3872.97,3987.81,2031.49,0,,05:29.9,30:00.0,05:29.9,
1642,24382,03840,2,Stones Mill,VA,Greenland,NH,Rate source1,3,1848.43,1939.23,2022.06,826.7,0,,05:32.5,30:00.0,05:32.5,
1643,76031,08832,1,Cleburne,TX,Keasbey,NJ,Rate source1,3,3331.11,3356.99,3405.27,1546.97,0,,05:38.7,30:00.0,05:38.7,
1644,77002,75078,2,Clutch City,TX,Prosper,TX,Rate source1,3,611.31,644.45,937.93,256.08,0,,05:46.2,30:00.0,05:46.2,
1645,97003,11980,2,Aloha,OR,Carver Park,NY,Rate source1,3,4047.05,4326.38,4535.28,2980.38,0,,05:49.2,30:00.0,05:49.2,
1646,30120,17101,1,Cartersville,GA,Harrisburg,PA,Rate source1,3,1667.29,1703.05,1924.96,718.26,0,,05:50.9,30:00.0,05:50.9,
1647,54556,60455,2,Prentice,WI,Bedford Park,IL,Rate source1,3,665.15,720.59,789.06,365.45,0,,05:52.2,30:00.0,05:52.2,
1648,19092,48174,2,Philadelphia,PA,Brownstown,MI,Rate source1,3,1018.95,1081.63,1153.6,570.07,0,,06:03.4,30:00.0,06:03.4,
1649,42539,97113,1,Clementsville,KY,Cornelius,OR,Rate source1,3,4349.17,4421.68,4487.99,2461.08,0,,06:05.2,30:00.0,06:05.2,
1650,77971,06074,2,Lolita,TX,Bissell,CT,Rate source1,3,3657.65,3726.58,3785.68,1876.29,0,,06:05.9,30:00.0,06:05.9,
1651,17701,89501,2,Barbours,PA,Reno,NV,Rate source1,3,3844.66,3979.07,4083.06,2516.35,0,,06:11.4,30:00.0,06:11.4,
1652,39439,67401,2,Heidelberg,MS,Bavaria,KS,Rate source1,3,1486.33,1565.55,1649.78,888.93,0,,06:12.3,30:00.0,06:12.3,
1653,23701,28734,1,Portsmouth,VA,Burningtown,NC,Rate source1,3,1304.61,1365.51,1437.98,414.58,0,,06:19.2,30:00.0,06:19.2,
1654,54935,36602,2,Fond Du Lac,WI,Mobile,AL,Rate source1,3,1839.75,1921.98,1985.04,1102.13,0,,06:20.8,30:00.0,06:20.8,
1655,60538,55433,1,Boulder Hill,IL,Coon Rapids,MN,Rate source1,3,996.9,1031.31,1076.74,410.83,0,,06:29.2,30:00.0,06:29.2,
1656,68446,13035,2,Syracuse,NE,Caz,NY,Rate source1,3,2620.17,2675.95,2735.46,1194.97,0,,06:41.2,30:00.0,06:41.2,
1657,26205,21219,2,Cottle,WV,Baltimore,MD,Rate source1,3,759.81,788.81,832.3,269.19,0,,06:51.9,30:00.0,06:51.9,
1658,41008,46112,2,Carrollton,KY,Brownsburg,IN,Rate source1,3,599.93,641.31,671.53,130.46,0,,07:11.0,30:00.0,07:11.0,
1659,89431,97003,1,Greenbrae,NV,Aloha,OR,Rate source1,3,2015.32,2073.22,2139.08,605.38,0,,07:13.5,30:00.0,07:13.5,
1660,40741,78040,2,London,KY,Laredo,TX,Rate source1,3,1823.76,1904.36,2106.39,1251.07,0,,07:24.2,30:00.0,07:24.2,
1661,78040,23320,1,Laredo,TX,Chesapeake,VA,Rate source1,3,2984.61,3062.47,3177.3,1682.25,0,,07:49.2,30:00.0,07:49.2,
1662,90001,66101,2,Firestone Park,CA,Kansas City,KS,Rate source1,3,3271.14,3362.62,3420.59,1613.93,0,,07:55.4,30:00.0,07:55.4,
1663,19530,21219,1,Greenwich,PA,Baltimore,MD,Rate source1,3,803.14,838.62,979.36,109.77,0,,08:01.7,30:00.0,08:01.7,
1664,17101,01581,1,Harrisburg,PA,Westborough,MA,Rate source1,3,1010.59,1307.02,1480.85,334.44,0,,08:10.5,30:00.0,08:10.5,
1665,18064,11201,2,Nazareth,PA,Brooklyn,NY,Rate source1,3,488.89,580.83,626.43,91.1,0,,08:27.2,30:00.0,08:27.2,
1666,60098,55401,2,Bull Valley,IL,Minneapolis,MN,Rate source1,3,900.43,953.98,1005.83,397.88,0,,08:36.8,30:00.0,08:36.8,
1667,75119,70401,2,Ennis,TX,Hammond,LA,Rate source1,3,1011.19,1048.78,1069.7,499.6,0,,08:42.3,30:00.0,08:42.3,
1668,19092,45133,2,Philadelphia,PA,Allensburg,OH,Rate source1,3,999.51,1047.29,1108.97,549.35,0,,09:13.4,30:00.0,09:13.4,
1669,26062,44062,2,Weirton,WV,Middlefield,OH,Rate source1,3,522.17,546.81,601.92,142.24,0,,06:27.2,30:00.0,06:27.2,
1670,61244,83355,2,Babcock,IL,Wendell,ID,Rate source1,3,2943.44,3051.2,3245.69,1417.79,0,,06:39.5,30:00.0,06:39.5,
1671,07047,02062,1,North Bergen,NJ,Norwood,MA,Rate source1,3,1094.53,1118.45,1165.94,220.41,0,,06:46.4,30:00.0,06:46.4,
1672,52001,19709,2,Center Grove,IA,Middletown,DE,Rate source1,3,1998.81,2112.69,2283.71,927.66,0,,06:47.7,30:00.0,06:47.7,
1673,17821,19720,2,Danville,PA,Manor,DE,Rate source1,3,504,709.05,843.58,145.43,0,,06:54.9,30:00.0,06:54.9,
1674,98532,60455,2,Boistfort,WA,Bedford Park,IL,Rate source1,3,3196.14,3301.43,3360.11,2132.86,0,,07:07.2,30:00.0,07:07.2,
1675,79835,34601,1,Canutillo,TX,Brooksville,FL,Rate source1,3,2346.4,2462.75,2572.46,1613.77,0,,07:27.7,30:00.0,07:27.7,
1676,19530,79835,2,Greenwich,PA,Canutillo,TX,Rate source1,3,2836.27,2876.07,2904.92,2016.14,0,,07:42.2,30:00.0,07:42.2,
1677,33563,75119,2,Plant City,FL,Ennis,TX,Rate source1,3,1342.93,1440.42,1507.33,1141.69,0,,07:59.0,30:00.0,07:59.0,
1678,40502,75090,2,Lexington,KY,Sherman,TX,Rate source1,3,1876.89,1945.9,2014.6,879.2,0,,08:12.2,30:00.0,08:12.2,
1679,33563,78201,2,Plant City,FL,Balcones Heights,TX,Rate source1,3,1388.62,1499.68,1566.47,1177.26,0,,08:30.4,30:00.0,08:30.4,
1680,18064,11201,2,Nazareth,PA,Brooklyn,NY,Rate source1,3,488.89,580.83,626.43,91.1,0,,08:30.5,30:00.0,08:30.5,
1681,60098,55401,2,Bull Valley,IL,Minneapolis,MN,Rate source1,3,900.43,953.98,1005.83,397.88,0,,08:39.2,30:00.0,08:39.2,
1682,35203,29601,2,Birmingham,AL,Greenville,SC,Rate source1,3,620.75,708.95,836.66,278.76,0,,08:47.4,30:00.0,08:47.4,
1683,19092,45133,2,Philadelphia,PA,Allensburg,OH,Rate source1,3,999.51,1047.29,1108.97,549.35,0,,09:08.2,30:00.0,09:08.2,
1684,63536,76635,2,Downing,MO,Coolidge,TX,Rate source1,3,1465.49,1546.17,1656.19,806.66,0,,09:12.7,30:00.0,09:12.7,
1685,71730,30038,1,El Dorado,AR,Lithonia,GA,Rate source1,3,2393.92,2485.74,2618.98,601.17,0,,09:17.7,30:00.0,09:17.7,
